text,intent,tokenized_text,cleaned_text,cleaned_tokenized_text,Target
"how would i say, 'i don't know the answer' in spanish",translate,"['how', 'would', 'i', 'say', ',', ""'"", 'i', 'do', ""n't"", 'know', 'the', 'answer', ""'"", 'in', 'spanish']",how would i say i dont know the answer in spanish,"['would', 'say', 'dont', 'know', 'answer', 'spanish']",131
i would like to know the proper way to greet an adult in portuguese,translate,"['i', 'would', 'like', 'to', 'know', 'the', 'proper', 'way', 'to', 'greet', 'an', 'adult', 'in', 'portuguese']",i would like to know the proper way to greet an adult in portuguese,"['would', 'like', 'know', 'proper', 'way', 'greet', 'adult', 'portuguese']",131
what words would i use to tell someone i am lost if i were japanese,translate,"['what', 'words', 'would', 'i', 'use', 'to', 'tell', 'someone', 'i', 'am', 'lost', 'if', 'i', 'were', 'japanese']",what words would i use to tell someone i am lost if i were japanese,"['words', 'would', 'use', 'tell', 'someone', 'lost', 'japanese']",131
how would i say thank you if i were russian,translate,"['how', 'would', 'i', 'say', 'thank', 'you', 'if', 'i', 'were', 'russian']",how would i say thank you if i were russian,"['would', 'say', 'thank', 'russian']",131
can you tell me how i would normally say thank you as a french person,translate,"['can', 'you', 'tell', 'me', 'how', 'i', 'would', 'normally', 'say', 'thank', 'you', 'as', 'a', 'french', 'person']",can you tell me how i would normally say thank you as a french person,"['tell', 'would', 'normally', 'say', 'thank', 'french', 'person']",131
i would like to know how to say hello in french,translate,"['i', 'would', 'like', 'to', 'know', 'how', 'to', 'say', 'hello', 'in', 'french']",i would like to know how to say hello in french,"['would', 'like', 'know', 'say', 'hello', 'french']",131
if i were english how would i say subway,translate,"['if', 'i', 'were', 'english', 'how', 'would', 'i', 'say', 'subway']",if i were english how would i say subway,"['english', 'would', 'say', 'subway']",131
i would i say subway if i were english,translate,"['i', 'would', 'i', 'say', 'subway', 'if', 'i', 'were', 'english']",i would i say subway if i were english,"['would', 'say', 'subway', 'english']",131
how do you say hi in french,translate,"['how', 'do', 'you', 'say', 'hi', 'in', 'french']",how do you say hi in french,"['say', 'hi', 'french']",131
in england how do they say subway,translate,"['in', 'england', 'how', 'do', 'they', 'say', 'subway']",in england how do they say subway,"['england', 'say', 'subway']",131
translate hello in french,translate,"['translate', 'hello', 'in', 'french']",translate hello in french,"['translate', 'hello', 'french']",131
how is hello said in french,translate,"['how', 'is', 'hello', 'said', 'in', 'french']",how is hello said in french,"['hello', 'said', 'french']",131
what do you call a subway if you were english,translate,"['what', 'do', 'you', 'call', 'a', 'subway', 'if', 'you', 'were', 'english']",what do you call a subway if you were english,"['call', 'subway', 'english']",131
how would i say if i were english subway,translate,"['how', 'would', 'i', 'say', 'if', 'i', 'were', 'english', 'subway']",how would i say if i were english subway,"['would', 'say', 'english', 'subway']",131
how should i say hello in french,translate,"['how', 'should', 'i', 'say', 'hello', 'in', 'french']",how should i say hello in french,"['say', 'hello', 'french']",131
how could i say twin in chinese,translate,"['how', 'could', 'i', 'say', 'twin', 'in', 'chinese']",how could i say twin in chinese,"['could', 'say', 'twin', 'chinese']",131
how can i say not now in spanish,translate,"['how', 'can', 'i', 'say', 'not', 'now', 'in', 'spanish']",how can i say not now in spanish,"['say', 'spanish']",131
what do spanish people say for the word cow,translate,"['what', 'do', 'spanish', 'people', 'say', 'for', 'the', 'word', 'cow']",what do spanish people say for the word cow,"['spanish', 'people', 'say', 'word', 'cow']",131
translate hello to english,translate,"['translate', 'hello', 'to', 'english']",translate hello to english,"['translate', 'hello', 'english']",131
how do you say goodbye in spanish,translate,"['how', 'do', 'you', 'say', 'goodbye', 'in', 'spanish']",how do you say goodbye in spanish,"['say', 'goodbye', 'spanish']",131
how would i say love in french,translate,"['how', 'would', 'i', 'say', 'love', 'in', 'french']",how would i say love in french,"['would', 'say', 'love', 'french']",131
could you translate atm machine into english,translate,"['could', 'you', 'translate', 'atm', 'machine', 'into', 'english']",could you translate atm machine into english,"['could', 'translate', 'atm', 'machine', 'english']",131
please translate grocery into french for me,translate,"['please', 'translate', 'grocery', 'into', 'french', 'for', 'me']",please translate grocery into french for me,"['please', 'translate', 'grocery', 'french']",131
how do germans say goodnight,translate,"['how', 'do', 'germans', 'say', 'goodnight']",how do germans say goodnight,"['germans', 'say', 'goodnight']",131
tell me how the russians say notebook,translate,"['tell', 'me', 'how', 'the', 'russians', 'say', 'notebook']",tell me how the russians say notebook,"['tell', 'russians', 'say', 'notebook']",131
how do vietnameses people say hello,translate,"['how', 'do', 'vietnameses', 'people', 'say', 'hello']",how do vietnameses people say hello,"['vietnameses', 'people', 'say', 'hello']",131
how do i say thank you in japanese,translate,"['how', 'do', 'i', 'say', 'thank', 'you', 'in', 'japanese']",how do i say thank you in japanese,"['say', 'thank', 'japanese']",131
what is latin for i love you,translate,"['what', 'is', 'latin', 'for', 'i', 'love', 'you']",what is latin for i love you,"['latin', 'love']",131
how can i thank somebody in italian,translate,"['how', 'can', 'i', 'thank', 'somebody', 'in', 'italian']",how can i thank somebody in italian,"['thank', 'somebody', 'italian']",131
how do i say you're welcome in chinese,translate,"['how', 'do', 'i', 'say', 'you', ""'re"", 'welcome', 'in', 'chinese']",how do i say youre welcome in chinese,"['say', 'youre', 'welcome', 'chinese']",131
translate hello english to french,translate,"['translate', 'hello', 'english', 'to', 'french']",translate hello english to french,"['translate', 'hello', 'english', 'french']",131
what is hello in french,translate,"['what', 'is', 'hello', 'in', 'french']",what is hello in french,"['hello', 'french']",131
what phrase means goodbye in hawaii,translate,"['what', 'phrase', 'means', 'goodbye', 'in', 'hawaii']",what phrase means goodbye in hawaii,"['phrase', 'means', 'goodbye', 'hawaii']",131
what spanish word means hello,translate,"['what', 'spanish', 'word', 'means', 'hello']",what spanish word means hello,"['spanish', 'word', 'means', 'hello']",131
translate hello to french,translate,"['translate', 'hello', 'to', 'french']",translate hello to french,"['translate', 'hello', 'french']",131
translate english to french hello,translate,"['translate', 'english', 'to', 'french', 'hello']",translate english to french hello,"['translate', 'english', 'french', 'hello']",131
what is the word for hello spanish,translate,"['what', 'is', 'the', 'word', 'for', 'hello', 'spanish']",what is the word for hello spanish,"['word', 'hello', 'spanish']",131
how do they say goodbye in hawaii,translate,"['how', 'do', 'they', 'say', 'goodbye', 'in', 'hawaii']",how do they say goodbye in hawaii,"['say', 'goodbye', 'hawaii']",131
what's local slang for goodbye in hawaii,translate,"['what', ""'s"", 'local', 'slang', 'for', 'goodbye', 'in', 'hawaii']",whats local slang for goodbye in hawaii,"['whats', 'local', 'slang', 'goodbye', 'hawaii']",131
how do you say hello in french,translate,"['how', 'do', 'you', 'say', 'hello', 'in', 'french']",how do you say hello in french,"['say', 'hello', 'french']",131
tell me how to say hello in spanish,translate,"['tell', 'me', 'how', 'to', 'say', 'hello', 'in', 'spanish']",tell me how to say hello in spanish,"['tell', 'say', 'hello', 'spanish']",131
what do i say for goodbye in hawaii,translate,"['what', 'do', 'i', 'say', 'for', 'goodbye', 'in', 'hawaii']",what do i say for goodbye in hawaii,"['say', 'goodbye', 'hawaii']",131
translate hello into french for me,translate,"['translate', 'hello', 'into', 'french', 'for', 'me']",translate hello into french for me,"['translate', 'hello', 'french']",131
how do i say hello in french,translate,"['how', 'do', 'i', 'say', 'hello', 'in', 'french']",how do i say hello in french,"['say', 'hello', 'french']",131
translate for me hello into french,translate,"['translate', 'for', 'me', 'hello', 'into', 'french']",translate for me hello into french,"['translate', 'hello', 'french']",131
how would they say say goodbye in hawaii,translate,"['how', 'would', 'they', 'say', 'say', 'goodbye', 'in', 'hawaii']",how would they say say goodbye in hawaii,"['would', 'say', 'say', 'goodbye', 'hawaii']",131
what is spanish for hello,translate,"['what', 'is', 'spanish', 'for', 'hello']",what is spanish for hello,"['spanish', 'hello']",131
how would i say hello in french,translate,"['how', 'would', 'i', 'say', 'hello', 'in', 'french']",how would i say hello in french,"['would', 'say', 'hello', 'french']",131
how can i say i love you in italy,translate,"['how', 'can', 'i', 'say', 'i', 'love', 'you', 'in', 'italy']",how can i say i love you in italy,"['say', 'love', 'italy']",131
what is spanish for good morning,translate,"['what', 'is', 'spanish', 'for', 'good', 'morning']",what is spanish for good morning,"['spanish', 'good', 'morning']",131
how do you say it's snowing in german,translate,"['how', 'do', 'you', 'say', 'it', ""'s"", 'snowing', 'in', 'german']",how do you say its snowing in german,"['say', 'snowing', 'german']",131
how would you say can i borrow five dollars in portuguese,translate,"['how', 'would', 'you', 'say', 'can', 'i', 'borrow', 'five', 'dollars', 'in', 'portuguese']",how would you say can i borrow five dollars in portuguese,"['would', 'say', 'borrow', 'five', 'dollars', 'portuguese']",131
do you know how to say where is the restroom in french,translate,"['do', 'you', 'know', 'how', 'to', 'say', 'where', 'is', 'the', 'restroom', 'in', 'french']",do you know how to say where is the restroom in french,"['know', 'say', 'restroom', 'french']",131
how would i say pleased to meet you if i were japanese,translate,"['how', 'would', 'i', 'say', 'pleased', 'to', 'meet', 'you', 'if', 'i', 'were', 'japanese']",how would i say pleased to meet you if i were japanese,"['would', 'say', 'pleased', 'meet', 'japanese']",131
can you translate hello into swedish for me,translate,"['can', 'you', 'translate', 'hello', 'into', 'swedish', 'for', 'me']",can you translate hello into swedish for me,"['translate', 'hello', 'swedish']",131
can you translate i love you into french for me,translate,"['can', 'you', 'translate', 'i', 'love', 'you', 'into', 'french', 'for', 'me']",can you translate i love you into french for me,"['translate', 'love', 'french']",131
can you translate where's the bar into irish for me,translate,"['can', 'you', 'translate', 'where', ""'s"", 'the', 'bar', 'into', 'irish', 'for', 'me']",can you translate wheres the bar into irish for me,"['translate', 'wheres', 'bar', 'irish']",131
how would i say goodbye if i were norwegian,translate,"['how', 'would', 'i', 'say', 'goodbye', 'if', 'i', 'were', 'norwegian']",how would i say goodbye if i were norwegian,"['would', 'say', 'goodbye', 'norwegian']",131
how would i say i love you if i were french,translate,"['how', 'would', 'i', 'say', 'i', 'love', 'you', 'if', 'i', 'were', 'french']",how would i say i love you if i were french,"['would', 'say', 'love', 'french']",131
how would i say hello if i were swedish,translate,"['how', 'would', 'i', 'say', 'hello', 'if', 'i', 'were', 'swedish']",how would i say hello if i were swedish,"['would', 'say', 'hello', 'swedish']",131
can you translate good bye into russian for me,translate,"['can', 'you', 'translate', 'good', 'bye', 'into', 'russian', 'for', 'me']",can you translate good bye into russian for me,"['translate', 'good', 'bye', 'russian']",131
can you translate i have to go pee into korean for me,translate,"['can', 'you', 'translate', 'i', 'have', 'to', 'go', 'pee', 'into', 'korean', 'for', 'me']",can you translate i have to go pee into korean for me,"['translate', 'go', 'pee', 'korean']",131
how would i say i'm not guilty if i were mexican,translate,"['how', 'would', 'i', 'say', 'i', ""'m"", 'not', 'guilty', 'if', 'i', 'were', 'mexican']",how would i say im not guilty if i were mexican,"['would', 'say', 'im', 'guilty', 'mexican']",131
how do you say thank you in spanish,translate,"['how', 'do', 'you', 'say', 'thank', 'you', 'in', 'spanish']",how do you say thank you in spanish,"['say', 'thank', 'spanish']",131
how does one say thank you in spanish,translate,"['how', 'does', 'one', 'say', 'thank', 'you', 'in', 'spanish']",how does one say thank you in spanish,"['one', 'say', 'thank', 'spanish']",131
how can i say thank you in spanish,translate,"['how', 'can', 'i', 'say', 'thank', 'you', 'in', 'spanish']",how can i say thank you in spanish,"['say', 'thank', 'spanish']",131
what is thank you in spanish,translate,"['what', 'is', 'thank', 'you', 'in', 'spanish']",what is thank you in spanish,"['thank', 'spanish']",131
what is the way to say thank you in spanish,translate,"['what', 'is', 'the', 'way', 'to', 'say', 'thank', 'you', 'in', 'spanish']",what is the way to say thank you in spanish,"['way', 'say', 'thank', 'spanish']",131
"how do they say ""who is your father"" in german",translate,"['how', 'do', 'they', 'say', '``', 'who', 'is', 'your', 'father', ""''"", 'in', 'german']",how do they say who is your father in german,"['say', 'father', 'german']",131
"how do they say ""where's the bathroom"" in spanish",translate,"['how', 'do', 'they', 'say', '``', 'where', ""'s"", 'the', 'bathroom', ""''"", 'in', 'spanish']",how do they say wheres the bathroom in spanish,"['say', 'wheres', 'bathroom', 'spanish']",131
"how do they say ""how's it going"" in swahili",translate,"['how', 'do', 'they', 'say', '``', 'how', ""'s"", 'it', 'going', ""''"", 'in', 'swahili']",how do they say hows it going in swahili,"['say', 'hows', 'going', 'swahili']",131
"how do they say ""i love you"" in japanese",translate,"['how', 'do', 'they', 'say', '``', 'i', 'love', 'you', ""''"", 'in', 'japanese']",how do they say i love you in japanese,"['say', 'love', 'japanese']",131
"how do they say ""what's up"" in chinese",translate,"['how', 'do', 'they', 'say', '``', 'what', ""'s"", 'up', ""''"", 'in', 'chinese']",how do they say whats up in chinese,"['say', 'whats', 'chinese']",131
how do you say thank you in german,translate,"['how', 'do', 'you', 'say', 'thank', 'you', 'in', 'german']",how do you say thank you in german,"['say', 'thank', 'german']",131
how do you say please in arabic,translate,"['how', 'do', 'you', 'say', 'please', 'in', 'arabic']",how do you say please in arabic,"['say', 'please', 'arabic']",131
how do you say cat in spanish,translate,"['how', 'do', 'you', 'say', 'cat', 'in', 'spanish']",how do you say cat in spanish,"['say', 'cat', 'spanish']",131
how do you say i'm hungry in french,translate,"['how', 'do', 'you', 'say', 'i', ""'m"", 'hungry', 'in', 'french']",how do you say im hungry in french,"['say', 'im', 'hungry', 'french']",131
how do you say i need coffee in dutch,translate,"['how', 'do', 'you', 'say', 'i', 'need', 'coffee', 'in', 'dutch']",how do you say i need coffee in dutch,"['say', 'need', 'coffee', 'dutch']",131
how do they say yes in brazil,translate,"['how', 'do', 'they', 'say', 'yes', 'in', 'brazil']",how do they say yes in brazil,"['say', 'yes', 'brazil']",131
can you translate cat into russian for me,translate,"['can', 'you', 'translate', 'cat', 'into', 'russian', 'for', 'me']",can you translate cat into russian for me,"['translate', 'cat', 'russian']",131
can you translate bowl into russian for me,translate,"['can', 'you', 'translate', 'bowl', 'into', 'russian', 'for', 'me']",can you translate bowl into russian for me,"['translate', 'bowl', 'russian']",131
how do they say hello in france,translate,"['how', 'do', 'they', 'say', 'hello', 'in', 'france']",how do they say hello in france,"['say', 'hello', 'france']",131
i wanna know a phrase in spanish,translate,"['i', 'wan', 'na', 'know', 'a', 'phrase', 'in', 'spanish']",i wanna know a phrase in spanish,"['wan', 'na', 'know', 'phrase', 'spanish']",131
can you translate bat into russian for me,translate,"['can', 'you', 'translate', 'bat', 'into', 'russian', 'for', 'me']",can you translate bat into russian for me,"['translate', 'bat', 'russian']",131
how do they say no in germany,translate,"['how', 'do', 'they', 'say', 'no', 'in', 'germany']",how do they say no in germany,"['say', 'germany']",131
can you translate hi into spanish for me,translate,"['can', 'you', 'translate', 'hi', 'into', 'spanish', 'for', 'me']",can you translate hi into spanish for me,"['translate', 'hi', 'spanish']",131
i wanna learn a phrase in russian,translate,"['i', 'wan', 'na', 'learn', 'a', 'phrase', 'in', 'russian']",i wanna learn a phrase in russian,"['wan', 'na', 'learn', 'phrase', 'russian']",131
how do they say hello in germany,translate,"['how', 'do', 'they', 'say', 'hello', 'in', 'germany']",how do they say hello in germany,"['say', 'hello', 'germany']",131
can you translate milk into spanish for me,translate,"['can', 'you', 'translate', 'milk', 'into', 'spanish', 'for', 'me']",can you translate milk into spanish for me,"['translate', 'milk', 'spanish']",131
how do they say hello in brazil,translate,"['how', 'do', 'they', 'say', 'hello', 'in', 'brazil']",how do they say hello in brazil,"['say', 'hello', 'brazil']",131
i need $20000 transferred from my savings to my checking,transfer,"['i', 'need', '$', '20000', 'transferred', 'from', 'my', 'savings', 'to', 'my', 'checking']",i need 20000 transferred from my savings to my checking,"['need', '20000', 'transferred', 'savings', 'checking']",130
complete a transaction from savings to checking of $20000,transfer,"['complete', 'a', 'transaction', 'from', 'savings', 'to', 'checking', 'of', '$', '20000']",complete a transaction from savings to checking of 20000,"['complete', 'transaction', 'savings', 'checking', '20000']",130
transfer $20000 from my savings account to checking account,transfer,"['transfer', '$', '20000', 'from', 'my', 'savings', 'account', 'to', 'checking', 'account']",transfer 20000 from my savings account to checking account,"['transfer', '20000', 'savings', 'account', 'checking', 'account']",130
take $20000 from savings and put it in checking,transfer,"['take', '$', '20000', 'from', 'savings', 'and', 'put', 'it', 'in', 'checking']",take 20000 from savings and put it in checking,"['take', '20000', 'savings', 'put', 'checking']",130
put $20000 into my checking account from my savings account,transfer,"['put', '$', '20000', 'into', 'my', 'checking', 'account', 'from', 'my', 'savings', 'account']",put 20000 into my checking account from my savings account,"['put', '20000', 'checking', 'account', 'savings', 'account']",130
send 100 dollars between bank of the west and bank of america acccounts,transfer,"['send', '100', 'dollars', 'between', 'bank', 'of', 'the', 'west', 'and', 'bank', 'of', 'america', 'acccounts']",send 100 dollars between bank of the west and bank of america acccounts,"['send', '100', 'dollars', 'bank', 'west', 'bank', 'america', 'acccounts']",130
send 50 dollars between bank of america and chase accounts,transfer,"['send', '50', 'dollars', 'between', 'bank', 'of', 'america', 'and', 'chase', 'accounts']",send 50 dollars between bank of america and chase accounts,"['send', '50', 'dollars', 'bank', 'america', 'chase', 'accounts']",130
send 2000 dollars between chase and rabobank accounts,transfer,"['send', '2000', 'dollars', 'between', 'chase', 'and', 'rabobank', 'accounts']",send 2000 dollars between chase and rabobank accounts,"['send', '2000', 'dollars', 'chase', 'rabobank', 'accounts']",130
send 1200 dollars between usaa and navy federal accounts,transfer,"['send', '1200', 'dollars', 'between', 'usaa', 'and', 'navy', 'federal', 'accounts']",send 1200 dollars between usaa and navy federal accounts,"['send', '1200', 'dollars', 'usaa', 'navy', 'federal', 'accounts']",130
send 400 dollars between city bank and usaa accounts,transfer,"['send', '400', 'dollars', 'between', 'city', 'bank', 'and', 'usaa', 'accounts']",send 400 dollars between city bank and usaa accounts,"['send', '400', 'dollars', 'city', 'bank', 'usaa', 'accounts']",130
take $40 and transfer it to account a from b,transfer,"['take', '$', '40', 'and', 'transfer', 'it', 'to', 'account', 'a', 'from', 'b']",take 40 and transfer it to account a from b,"['take', '40', 'transfer', 'account', 'b']",130
transfer $40 from account a to b,transfer,"['transfer', '$', '40', 'from', 'account', 'a', 'to', 'b']",transfer 40 from account a to b,"['transfer', '40', 'account', 'b']",130
move $40 from account b to account a,transfer,"['move', '$', '40', 'from', 'account', 'b', 'to', 'account', 'a']",move 40 from account b to account a,"['move', '40', 'account', 'b', 'account']",130
put $40 from account a to b,transfer,"['put', '$', '40', 'from', 'account', 'a', 'to', 'b']",put 40 from account a to b,"['put', '40', 'account', 'b']",130
take $40 from account a and transfer it to account b,transfer,"['take', '$', '40', 'from', 'account', 'a', 'and', 'transfer', 'it', 'to', 'account', 'b']",take 40 from account a and transfer it to account b,"['take', '40', 'account', 'transfer', 'account', 'b']",130
i need to transfer from this account to that one,transfer,"['i', 'need', 'to', 'transfer', 'from', 'this', 'account', 'to', 'that', 'one']",i need to transfer from this account to that one,"['need', 'transfer', 'account', 'one']",130
need to transfer from one account to my other one,transfer,"['need', 'to', 'transfer', 'from', 'one', 'account', 'to', 'my', 'other', 'one']",need to transfer from one account to my other one,"['need', 'transfer', 'one', 'account', 'one']",130
i would like to transfer from one account to my second one,transfer,"['i', 'would', 'like', 'to', 'transfer', 'from', 'one', 'account', 'to', 'my', 'second', 'one']",i would like to transfer from one account to my second one,"['would', 'like', 'transfer', 'one', 'account', 'second', 'one']",130
i need to transfer from one account to my second one,transfer,"['i', 'need', 'to', 'transfer', 'from', 'one', 'account', 'to', 'my', 'second', 'one']",i need to transfer from one account to my second one,"['need', 'transfer', 'one', 'account', 'second', 'one']",130
i have to transfer from one account to my other one,transfer,"['i', 'have', 'to', 'transfer', 'from', 'one', 'account', 'to', 'my', 'other', 'one']",i have to transfer from one account to my other one,"['transfer', 'one', 'account', 'one']",130
send fifty dollars from me to carrie,transfer,"['send', 'fifty', 'dollars', 'from', 'me', 'to', 'carrie']",send fifty dollars from me to carrie,"['send', 'fifty', 'dollars', 'carrie']",130
transfer sixty dollars to dad from my biggest accnt,transfer,"['transfer', 'sixty', 'dollars', 'to', 'dad', 'from', 'my', 'biggest', 'accnt']",transfer sixty dollars to dad from my biggest accnt,"['transfer', 'sixty', 'dollars', 'dad', 'biggest', 'accnt']",130
send over a hundred dollars from huntington into saving,transfer,"['send', 'over', 'a', 'hundred', 'dollars', 'from', 'huntington', 'into', 'saving']",send over a hundred dollars from huntington into saving,"['send', 'hundred', 'dollars', 'huntington', 'saving']",130
move 57 dollars from saving into mom,transfer,"['move', '57', 'dollars', 'from', 'saving', 'into', 'mom']",move 57 dollars from saving into mom,"['move', '57', 'dollars', 'saving', 'mom']",130
transfer two hundred dollars between my portfolio and my money market account,transfer,"['transfer', 'two', 'hundred', 'dollars', 'between', 'my', 'portfolio', 'and', 'my', 'money', 'market', 'account']",transfer two hundred dollars between my portfolio and my money market account,"['transfer', 'two', 'hundred', 'dollars', 'portfolio', 'money', 'market', 'account']",130
i need to transfer ten dollars from my bank of america account to my capital one account,transfer,"['i', 'need', 'to', 'transfer', 'ten', 'dollars', 'from', 'my', 'bank', 'of', 'america', 'account', 'to', 'my', 'capital', 'one', 'account']",i need to transfer ten dollars from my bank of america account to my capital one account,"['need', 'transfer', 'ten', 'dollars', 'bank', 'america', 'account', 'capital', 'one', 'account']",130
go ahead and send ten dollars from bank of america to capital one,transfer,"['go', 'ahead', 'and', 'send', 'ten', 'dollars', 'from', 'bank', 'of', 'america', 'to', 'capital', 'one']",go ahead and send ten dollars from bank of america to capital one,"['go', 'ahead', 'send', 'ten', 'dollars', 'bank', 'america', 'capital', 'one']",130
i must transfer ten dollars from my bank of america account to my capital one account,transfer,"['i', 'must', 'transfer', 'ten', 'dollars', 'from', 'my', 'bank', 'of', 'america', 'account', 'to', 'my', 'capital', 'one', 'account']",i must transfer ten dollars from my bank of america account to my capital one account,"['must', 'transfer', 'ten', 'dollars', 'bank', 'america', 'account', 'capital', 'one', 'account']",130
i got to transfer ten dollars from my bank of america account to my capital one account,transfer,"['i', 'got', 'to', 'transfer', 'ten', 'dollars', 'from', 'my', 'bank', 'of', 'america', 'account', 'to', 'my', 'capital', 'one', 'account']",i got to transfer ten dollars from my bank of america account to my capital one account,"['got', 'transfer', 'ten', 'dollars', 'bank', 'america', 'account', 'capital', 'one', 'account']",130
i want you to send ten dollars from bank of america to capital one,transfer,"['i', 'want', 'you', 'to', 'send', 'ten', 'dollars', 'from', 'bank', 'of', 'america', 'to', 'capital', 'one']",i want you to send ten dollars from bank of america to capital one,"['want', 'send', 'ten', 'dollars', 'bank', 'america', 'capital', 'one']",130
i need you to send ten dollars from bank of america to capital one,transfer,"['i', 'need', 'you', 'to', 'send', 'ten', 'dollars', 'from', 'bank', 'of', 'america', 'to', 'capital', 'one']",i need you to send ten dollars from bank of america to capital one,"['need', 'send', 'ten', 'dollars', 'bank', 'america', 'capital', 'one']",130
i have to transfer ten dollars from my bank of america account to my capital one account,transfer,"['i', 'have', 'to', 'transfer', 'ten', 'dollars', 'from', 'my', 'bank', 'of', 'america', 'account', 'to', 'my', 'capital', 'one', 'account']",i have to transfer ten dollars from my bank of america account to my capital one account,"['transfer', 'ten', 'dollars', 'bank', 'america', 'account', 'capital', 'one', 'account']",130
send ten dollars from bank of america to capital one,transfer,"['send', 'ten', 'dollars', 'from', 'bank', 'of', 'america', 'to', 'capital', 'one']",send ten dollars from bank of america to capital one,"['send', 'ten', 'dollars', 'bank', 'america', 'capital', 'one']",130
please send ten dollars from bank of america to capital one,transfer,"['please', 'send', 'ten', 'dollars', 'from', 'bank', 'of', 'america', 'to', 'capital', 'one']",please send ten dollars from bank of america to capital one,"['please', 'send', 'ten', 'dollars', 'bank', 'america', 'capital', 'one']",130
make a transfer of $200 from my savings account to my checking account,transfer,"['make', 'a', 'transfer', 'of', '$', '200', 'from', 'my', 'savings', 'account', 'to', 'my', 'checking', 'account']",make a transfer of 200 from my savings account to my checking account,"['make', 'transfer', '200', 'savings', 'account', 'checking', 'account']",130
please transfer $250 from checking to savings,transfer,"['please', 'transfer', '$', '250', 'from', 'checking', 'to', 'savings']",please transfer 250 from checking to savings,"['please', 'transfer', '250', 'checking', 'savings']",130
transfer $500 from my checking to my savings,transfer,"['transfer', '$', '500', 'from', 'my', 'checking', 'to', 'my', 'savings']",transfer 500 from my checking to my savings,"['transfer', '500', 'checking', 'savings']",130
please transfer $100 from my checking to my savings account,transfer,"['please', 'transfer', '$', '100', 'from', 'my', 'checking', 'to', 'my', 'savings', 'account']",please transfer 100 from my checking to my savings account,"['please', 'transfer', '100', 'checking', 'savings', 'account']",130
transfer $500 from my money market savings account to my checking account,transfer,"['transfer', '$', '500', 'from', 'my', 'money', 'market', 'savings', 'account', 'to', 'my', 'checking', 'account']",transfer 500 from my money market savings account to my checking account,"['transfer', '500', 'money', 'market', 'savings', 'account', 'checking', 'account']",130
send money from one account to another,transfer,"['send', 'money', 'from', 'one', 'account', 'to', 'another']",send money from one account to another,"['send', 'money', 'one', 'account', 'another']",130
transfer 200 dollars from paypal to savings,transfer,"['transfer', '200', 'dollars', 'from', 'paypal', 'to', 'savings']",transfer 200 dollars from paypal to savings,"['transfer', '200', 'dollars', 'paypal', 'savings']",130
