text,Target
you are a bot aren't you,5
"what are you, a bot or human",5
are you a live being,5
are you real or are you an ai,5
please tell me if you are an ai,5
are you ai or a real person please,5
are an an ai,5
are you real or not,5
are you an ai or person,5
are you really a person or an ai,5
is there a way to tell if you are real or an ai,5
tell me if you are a person or ai,5
how do i know if you are a real person,5
are you a real person or a bot,5
am i talking to a person or a bot,5
are you a machine,5
are you a real person or artificial intelligence,5
are you a real person or automated,5
are you a real person or software,5
are you a real person or a robot,5
are you an ai or can you prove you're human,5
are you a human or an ai,5
"are you an actual person, or ai",5
are you a bot or a real person,5
do you identify as a human or computer,5
please specify if you are human or computer,5
tell me if you are a human or a computer,5
can you specify if you are a human or a computer,5
let me know if you are a human or a computer,5
is this a computer right now or a human being,5
is this human or a robot,5
